54,"[[0.35258951783180237, 0.34111714363098145], [0.35292014479637146, 0.3364796042442322], [0.35425126552581787, 0.3361963629722595], [0.3542937934398651, 0.33706140518188477], [0.36338135600090027, 0.33739912509918213], [0.3507240414619446, 0.35715100169181824], [0.3712925612926483, 0.35782572627067566], [0.33717283606529236, 0.38620203733444214], [0.3728577494621277, 0.38719236850738525], [0.32647889852523804, 0.4023206830024719], [0.36266210675239563, 0.40310508012771606], [0.3540481925010681, 0.41957491636276245], [0.3680298924446106, 0.41931021213531494], [0.3463030755519867, 0.46040722727775574], [0.36465299129486084, 0.46104320883750916], [0.3491274416446686, 0.49719366431236267], [0.3668055832386017, 0.49622082710266113]]","[[0.41213417053222656, 0.404053658246994], [0.41116270422935486, 0.3991778492927551], [0.41339215636253357, 0.3991813659667969], [0.4039689898490906, 0.39952749013900757], [0.41749635338783264, 0.400812029838562], [0.39382225275039673, 0.4225436747074127], [0.4237927794456482, 0.4262070953845978], [0.3836820721626282, 0.4590234160423279], [0.43587636947631836, 0.46557003259658813], [0.38650786876678467, 0.49025043845176697], [0.43927669525146484, 0.49472731351852417], [0.39617782831192017, 0.493552565574646], [0.4176764488220215, 0.4957972764968872], [0.39489632844924927, 0.5319556593894958], [0.43054303526878357, 0.5342586636543274], [0.38967445492744446, 0.5786681771278381], [0.43553346395492554, 0.5814538598060608]]","[292, 18]",straight drop,0.0,True,0,0.7,idle,idle
60,"[[0.3543091416358948, 0.32891717553138733], [0.3550192415714264, 0.3244154155254364], [0.3562663197517395, 0.32398974895477295], [0.3573637008666992, 0.3269224464893341], [0.3668672442436218, 0.3269568681716919], [0.35512733459472656, 0.348251610994339], [0.37433892488479614, 0.34880656003952026], [0.34211036562919617, 0.3710102438926697], [0.37241578102111816, 0.3724609315395355], [0.33120793104171753, 0.3679860830307007], [0.36077791452407837, 0.3698405921459198], [0.3582633137702942, 0.40900349617004395], [0.37077388167381287, 0.4086345136165619], [0.35172703862190247, 0.4541628658771515], [0.3644273579120636, 0.45455577969551086], [0.3562574088573456, 0.49801334738731384], [0.3653113842010498, 0.4968429505825043]]","[[0.43062934279441833, 0.43022385239601135], [0.42850470542907715, 0.42464736104011536], [0.42907819151878357, 0.4260190427303314], [0.41352787613868713, 0.42321810126304626], [0.42578449845314026, 0.4283038377761841], [0.3980439007282257, 0.4471561312675476], [0.4288337826728821, 0.45554569363594055], [0.3839736878871918, 0.48534446954727173], [0.4427293837070465, 0.49774688482284546], [0.38516438007354736, 0.5207012295722961], [0.44755977392196655, 0.5279833078384399], [0.393677294254303, 0.5159520506858826], [0.4164004325866699, 0.5205644369125366], [0.3908469080924988, 0.5349791049957275], [0.4331664443016052, 0.5391407608985901], [0.3757482171058655, 0.5725082755088806], [0.43177008628845215, 0.5797916650772095]]","[292, 18]",straight lob,0.0,True,0,0.6,idle,idle
66,"[[0.37128588557243347, 0.3217349648475647], [0.37038499116897583, 0.3169163465499878], [0.37168118357658386, 0.3172664940357208], [0.36296579241752625, 0.31913629174232483], [0.37559980154037476, 0.3208725154399872], [0.3551810383796692, 0.3413432538509369], [0.3799746036529541, 0.34476369619369507], [0.3438073694705963, 0.3618182837963104], [0.38364455103874207, 0.3688255846500397], [0.3421946167945862, 0.35823461413383484], [0.38114744424819946, 0.3647640645503998], [0.3564862310886383, 0.40625301003456116], [0.37255844473838806, 0.4077620208263397], [0.35520437359809875, 0.45449256896972656], [0.36870139837265015, 0.45647963881492615], [0.3572680652141571, 0.50211501121521], [0.36583104729652405, 0.5047203898429871]]","[[0.44619089365005493, 0.4359305500984192], [0.4446184039115906, 0.43036237359046936], [0.44504308700561523, 0.4320594072341919], [0.4331073760986328, 0.4279782176017761], [0.44138628244400024, 0.4341505169868469], [0.41735324263572693, 0.44766515493392944], [0.44052761793136597, 0.45699527859687805], [0.4023815989494324, 0.483168363571167], [0.45107632875442505, 0.49633094668388367], [0.4067673683166504, 0.5157045125961304], [0.4617045521736145, 0.5241984128952026], [0.3997478187084198, 0.506516695022583], [0.41702502965927124, 0.5107667446136475], [0.39992445707321167, 0.5376745462417603], [0.4392305910587311, 0.5422559380531311], [0.3736329972743988, 0.5874835848808289], [0.4286368787288666, 0.5961270928382874]]","[292, 18]",straight lob,0.0,True,0,0.6,idle,idle
72,"[[0.3850175440311432, 0.31009095907211304], [0.3838641047477722, 0.3050347566604614], [0.3849083185195923, 0.30556437373161316], [0.3752783238887787, 0.307500958442688], [0.3862130343914032, 0.3094389736652374], [0.3650592267513275, 0.33254295587539673], [0.38888758420944214, 0.3367216885089874], [0.35496029257774353, 0.3567507863044739], [0.3919951319694519, 0.36569666862487793], [0.35861489176750183, 0.36400219798088074], [0.3927759528160095, 0.371416300535202], [0.36788198351860046, 0.3987216055393219], [0.3839958608150482, 0.4014476239681244], [0.36721962690353394, 0.44899722933769226], [0.38340604305267334, 0.4520803689956665], [0.36680394411087036, 0.49206972122192383], [0.3811488151550293, 0.49623626470565796]]","[[0.48189759254455566, 0.4296986758708954], [0.48018622398376465, 0.42323774099349976], [0.48164433240890503, 0.42545199394226074], [0.4661562442779541, 0.4167816936969757], [0.4788903295993805, 0.4241103231906891], [0.44869059324264526, 0.4326690137386322], [0.4739481508731842, 0.44392895698547363], [0.4345870912075043, 0.46752187609672546], [0.48100438714027405, 0.4825420081615448], [0.4436357021331787, 0.4976031482219696], [0.4939447343349457, 0.5073145031929016], [0.431140661239624, 0.4895235598087311], [0.44734540581703186, 0.49462541937828064], [0.4402124285697937, 0.52970290184021], [0.4580588936805725, 0.5345860123634338], [0.4278870224952698, 0.5740602016448975], [0.4459710717201233, 0.5842084884643555]]","[292, 18]",straight lob,0.0,True,0,0.6,idle,follow_through
78,"[[0.3906405568122864, 0.3214586079120636], [0.38978004455566406, 0.31606918573379517], [0.3904009163379669, 0.31654325127601624], [0.3803906738758087, 0.31718385219573975], [0.39199554920196533, 0.31904178857803345], [0.37276050448417664, 0.34037187695503235], [0.39474132657051086, 0.343119740486145], [0.36377444863319397, 0.3702227771282196], [0.39870911836624146, 0.37410426139831543], [0.36304426193237305, 0.388191819190979], [0.3975678086280823, 0.39138904213905334], [0.3735347390174866, 0.4071315824985504], [0.3897819519042969, 0.40847888588905334], [0.3725373148918152, 0.4561443328857422], [0.39706140756607056, 0.4573357105255127], [0.3694959282875061, 0.5031508803367615], [0.4013083577156067, 0.5048073530197144]]","[[0.5022895336151123, 0.4211856722831726], [0.5000477433204651, 0.41506505012512207], [0.5011756420135498, 0.41701778769493103], [0.48671847581863403, 0.40957438945770264], [0.49827536940574646, 0.4167831540107727], [0.47097134590148926, 0.42715203762054443], [0.49686527252197266, 0.4361899495124817], [0.4537786543369293, 0.4641127288341522], [0.503673791885376, 0.47626185417175293], [0.455651193857193, 0.4999481737613678], [0.5132859945297241, 0.5088304877281189], [0.453075110912323, 0.4834807813167572], [0.46878552436828613, 0.48710349202156067], [0.4598940908908844, 0.5319286584854126], [0.4746904969215393, 0.5362382531166077], [0.4385490417480469, 0.5820863246917725], [0.4509064555168152, 0.5912829041481018]]","[397, 160]",slight_crosscourt lob,176.6,True,0,0.7999999999999999,idle,follow_through
84,"[[0.41054797172546387, 0.33459100127220154], [0.4085196852684021, 0.3287886679172516], [0.40881577134132385, 0.329576700925827], [0.39443856477737427, 0.3297075033187866], [0.4041140079498291, 0.33227285742759705], [0.383465439081192, 0.3554043769836426], [0.406128466129303, 0.3589175045490265], [0.37147256731987, 0.39181506633758545], [0.41243037581443787, 0.395109087228775], [0.3711140751838684, 0.4120030403137207], [0.41541653871536255, 0.4137558937072754], [0.38257870078086853, 0.4246023893356323], [0.4006616473197937, 0.42704400420188904], [0.38251379132270813, 0.46775931119918823], [0.42371243238449097, 0.46931007504463196], [0.3687031865119934, 0.5154611468315125], [0.42838215827941895, 0.519442617893219]]","[[0.5321813821792603, 0.4195377230644226], [0.5299773812294006, 0.41336414217948914], [0.5312471985816956, 0.4161125123500824], [0.517446756362915, 0.40699225664138794], [0.5267935991287231, 0.4155808687210083], [0.5025395154953003, 0.41780900955200195], [0.5235040187835693, 0.4329782724380493], [0.48639535903930664, 0.4474186301231384], [0.5274929404258728, 0.4704324007034302], [0.4825983941555023, 0.4815758466720581], [0.5289826989173889, 0.49913448095321655], [0.4931882917881012, 0.462535560131073], [0.508621096611023, 0.4698786437511444], [0.48414888978004456, 0.5125037431716919], [0.5175964832305908, 0.5194980502128601], [0.4754217565059662, 0.5442429780960083], [0.5208653807640076, 0.5564554333686829]]","[415, 158]",angled_crosscourt lob,145.8,True,0,0.7,idle,idle
90,"[[0.42113223671913147, 0.34370359778404236], [0.41925573348999023, 0.33801519870758057], [0.41985073685646057, 0.33913862705230713], [0.40630826354026794, 0.3359774351119995], [0.417289674282074, 0.3399544656276703], [0.3952839970588684, 0.35648608207702637], [0.4188673496246338, 0.3619880974292755], [0.3820717930793762, 0.38971588015556335], [0.42566734552383423, 0.3964015543460846], [0.37844419479370117, 0.4131147563457489], [0.4254624843597412, 0.4187738299369812], [0.39008283615112305, 0.4264262616634369], [0.40948137640953064, 0.4293031394481659], [0.38775867223739624, 0.46823322772979736], [0.4331986904144287, 0.4705181419849396], [0.3706440329551697, 0.5182163119316101], [0.43696337938308716, 0.5224028825759888]]","[[0.552374005317688, 0.423653244972229], [0.5508589744567871, 0.417045921087265], [0.5516671538352966, 0.41883018612861633], [0.5399242639541626, 0.41082078218460083], [0.5468865633010864, 0.4160475730895996], [0.5261457562446594, 0.42333975434303284], [0.5394538044929504, 0.43168962001800537], [0.5156522393226624, 0.4638462960720062], [0.5396909713745117, 0.4754699766635895], [0.5214083194732666, 0.506763756275177], [0.5478499531745911, 0.5163640975952148], [0.5089044570922852, 0.4767000079154968], [0.5183225870132446, 0.48083969950675964], [0.5177786350250244, 0.5137447118759155], [0.5355461835861206, 0.5181108117103577], [0.5044065117835999, 0.5379678010940552], [0.5279391407966614, 0.5465330481529236]]","[415, 158]",angled_crosscourt lob,145.8,True,0,0.7,idle,follow_through
96,"[[0.4397236406803131, 0.3457266390323639], [0.43824678659439087, 0.3407837450504303], [0.43755659461021423, 0.34169870615005493], [0.42682114243507385, 0.34055477380752563], [0.433124303817749, 0.3445298969745636], [0.41350311040878296, 0.3632358908653259], [0.4374080300331116, 0.36953455209732056], [0.39410820603370667, 0.39319437742233276], [0.4479163587093353, 0.403081476688385], [0.38485532999038696, 0.4179518520832062], [0.44744735956192017, 0.42755356431007385], [0.4094015657901764, 0.4271068572998047], [0.42755380272865295, 0.43029844760894775], [0.3997771143913269, 0.4741634428501129], [0.44428783655166626, 0.47742894291877747], [0.38226231932640076, 0.5225135087966919], [0.44358229637145996, 0.5283346176147461]]","[[0.581828236579895, 0.4258632957935333], [0.5815912485122681, 0.41932329535484314], [0.5810100436210632, 0.4196515679359436], [0.5727390646934509, 0.4115220010280609], [0.5749925374984741, 0.4128413200378418], [0.5580925345420837, 0.4208792746067047], [0.5627594590187073, 0.42577531933784485], [0.5610157251358032, 0.46039581298828125], [0.5658169984817505, 0.4710858166217804], [0.5807288289070129, 0.4879131019115448], [0.5814526677131653, 0.4974547028541565], [0.5317673087120056, 0.47296613454818726], [0.5360442399978638, 0.476332426071167], [0.5500370264053345, 0.49403974413871765], [0.5661308169364929, 0.4981269836425781], [0.5300403833389282, 0.5318150520324707], [0.553234875202179, 0.5398014783859253]]","[293, 18]",straight lob,237.3,True,0,0.5,idle,follow_through
102,"[[0.4468042850494385, 0.34548431634902954], [0.44498687982559204, 0.3399973511695862], [0.44563573598861694, 0.3416180908679962], [0.43312525749206543, 0.3381102681159973], [0.44276028871536255, 0.34378954768180847], [0.4171702265739441, 0.35819166898727417], [0.444079726934433, 0.36856287717819214], [0.3986186385154724, 0.3868115246295929], [0.4548073410987854, 0.4037727415561676], [0.3971928060054779, 0.4156462848186493], [0.4602281153202057, 0.4288700222969055], [0.4140172600746155, 0.43038204312324524], [0.43252667784690857, 0.43597304821014404], [0.4085958003997803, 0.48128923773765564], [0.4405110776424408, 0.48687121272087097], [0.3977569341659546, 0.5312662124633789], [0.4354884624481201, 0.5407359600067139]]","[[0.6014524102210999, 0.43424496054649353], [0.6009185314178467, 0.4288228452205658], [0.6007172465324402, 0.4290574789047241], [0.5910047292709351, 0.42335402965545654], [0.5923627614974976, 0.42455509305000305], [0.5769318342208862, 0.4322669208049774], [0.5792359113693237, 0.4395328462123871], [0.5798677206039429, 0.4601272940635681], [0.5839324593544006, 0.4734199643135071], [0.5984963178634644, 0.4824756979942322], [0.6003778576850891, 0.49221500754356384], [0.5554808378219604, 0.48025304079055786], [0.5582366585731506, 0.48484349250793457], [0.5631705522537231, 0.49296823143959045], [0.5807082056999207, 0.49697044491767883], [0.5510476231575012, 0.5210325717926025], [0.5770598649978638, 0.5300689935684204]]","[293, 18]",straight lob,237.3,True,0,0.5,idle,follow_through
108,"[[0.45710262656211853, 0.33249926567077637], [0.45557326078414917, 0.32696229219436646], [0.4553641378879547, 0.32837948203086853], [0.44328221678733826, 0.325266569852829], [0.45064154267311096, 0.33029115200042725], [0.4295756220817566, 0.3469436764717102], [0.4517972469329834, 0.35623031854629517], [0.41314834356307983, 0.3760261833667755], [0.4620688855648041, 0.39154040813446045], [0.4096631109714508, 0.40691077709198], [0.46666279435157776, 0.41947224736213684], [0.42841607332229614, 0.42145979404449463], [0.44224557280540466, 0.4265810549259186], [0.42909154295921326, 0.47806045413017273], [0.4444360136985779, 0.4828953742980957], [0.42705339193344116, 0.5289673209190369], [0.43905186653137207, 0.5372259020805359]]","[[0.6014524102210999, 0.43424496054649353], [0.6009185314178467, 0.4288228452205658], [0.6007172465324402, 0.4290574789047241], [0.5910047292709351, 0.42335402965545654], [0.5923627614974976, 0.42455509305000305], [0.5769318342208862, 0.4322669208049774], [0.5792359113693237, 0.4395328462123871], [0.5798677206039429, 0.4601272940635681], [0.5839324593544006, 0.4734199643135071], [0.5984963178634644, 0.4824756979942322], [0.6003778576850891, 0.49221500754356384], [0.5554808378219604, 0.48025304079055786], [0.5582366585731506, 0.48484349250793457], [0.5631705522537231, 0.49296823143959045], [0.5807082056999207, 0.49697044491767883], [0.5510476231575012, 0.5210325717926025], [0.5770598649978638, 0.5300689935684204]]","[293, 18]",straight lob,237.3,True,0,0.5,idle,idle
